datenum_noUV,oxygen_noUV_umol_kg
31-Oct-2017 21:15:00,265.725134853977
31-Oct-2017 21:30:00,265.936541272813
31-Oct-2017 21:45:00,266.138012495621
31-Oct-2017 22:00:00,266.357367685999
31-Oct-2017 22:15:00,266.604124390741
31-Oct-2017 22:30:00,266.743156102392
31-Oct-2017 22:45:00,266.955193510042
31-Oct-2017 23:00:00,267.169311186568
31-Oct-2017 23:15:00,267.366178328248
31-Oct-2017 23:30:00,267.556572563645
31-Oct-2017 23:45:00,267.731696326229
01-Nov-2017 00:00:00,267.821427465131
01-Nov-2017 00:15:00,267.952198794736
01-Nov-2017 00:30:00,268.017070475523
01-Nov-2017 00:45:00,268.146920097097
01-Nov-2017 01:00:00,268.286889836561
01-Nov-2017 01:15:00,268.384047782649
01-Nov-2017 01:30:00,268.436663251863
01-Nov-2017 01:45:00,268.456853950795
01-Nov-2017 02:00:00,268.474948056762
01-Nov-2017 02:15:00,268.64030914219
01-Nov-2017 02:30:00,268.793610632143
01-Nov-2017 02:45:00,268.940073523515
01-Nov-2017 03:00:00,268.925623696912
01-Nov-2017 03:15:00,268.971371742086
01-Nov-2017 03:30:00,268.920532022336
01-Nov-2017 03:45:00,268.853923128888
01-Nov-2017 04:00:00,268.873708047729
01-Nov-2017 04:15:00,268.808587974068
01-Nov-2017 04:30:00,268.805146364291
01-Nov-2017 04:45:00,268.783964141879
01-Nov-2017 05:00:00,268.72735211368
01-Nov-2017 05:15:00,268.654362200102
01-Nov-2017 05:30:00,268.519491724593
01-Nov-2017 05:45:00,268.245223340781
01-Nov-2017 06:00:00,268.045826267514
01-Nov-2017 06:15:00,267.825799191417
01-Nov-2017 06:30:00,267.47986788205
01-Nov-2017 06:45:00,267.193685883675
01-Nov-2017 07:00:00,266.882190476437
01-Nov-2017 07:15:00,266.580902441649
01-Nov-2017 07:30:00,266.433658514243
01-Nov-2017 07:45:00,266.267655455497
01-Nov-2017 08:00:00,266.173114236578
01-Nov-2017 08:15:00,266.023561858491
01-Nov-2017 08:30:00,265.81406296501
01-Nov-2017 08:45:00,265.718875216941
01-Nov-2017 09:00:00,265.661081658687
