datetime,oxygen_uncorrected_umol_kg,oxygen_corrected_umol_kg
09-Oct-2019 06:01:33,247.20972166286,229.712559675417
09-Oct-2019 06:16:33,247.176851962075,229.680757567714
09-Oct-2019 06:31:33,247.097424184998,229.605693508983
09-Oct-2019 06:46:33,247.110241190248,229.616344675581
09-Oct-2019 07:01:33,246.944347958107,229.460937975429
09-Oct-2019 07:16:33,246.926936896938,229.443501996542
09-Oct-2019 07:31:33,246.921845232239,229.437513260992
09-Oct-2019 07:46:33,247.062514262245,229.566963336611
09-Oct-2019 08:01:33,247.125288385734,229.624033541701
09-Oct-2019 08:16:33,247.007535683088,229.513361995011
09-Oct-2019 08:31:33,247.006628299282,229.511260862865
09-Oct-2019 08:46:33,246.834391930389,229.349966784563
09-Oct-2019 09:01:33,246.90773110052,229.416853494209
09-Oct-2019 09:16:33,247.063053455136,229.559914554113
09-Oct-2019 09:31:33,247.19152722424,229.678027669274
09-Oct-2019 09:46:33,247.269834776408,229.749527783938
09-Oct-2019 10:01:33,247.459366530533,229.924369948535
09-Oct-2019 10:16:33,247.58263569661,230.037643303097
09-Oct-2019 10:31:33,247.58216226303,230.035942474971
09-Oct-2019 10:46:33,247.600472488517,230.051694013094
09-Oct-2019 11:01:33,247.57855704797,230.030070915858
09-Oct-2019 11:16:33,247.586637243933,230.03631741778
09-Oct-2019 11:31:33,247.609986543069,230.056750503726
09-Oct-2019 11:46:33,247.511032647599,229.963550933239
09-Oct-2019 12:01:33,247.377262706162,229.838004799348
09-Oct-2019 12:16:33,247.278963867798,229.745416048545
09-Oct-2019 12:31:33,247.138568130816,229.613716521045
09-Oct-2019 12:46:33,246.999713181282,229.483449938801
09-Oct-2019 13:01:33,246.895659719115,229.385518104119
09-Oct-2019 13:16:33,246.823927537034,229.317616173173
09-Oct-2019 13:31:33,246.938576117753,229.422875487361
09-Oct-2019 13:46:33,246.836473708351,229.326758198817
09-Oct-2019 14:01:33,246.797493401534,229.289286074559
09-Oct-2019 14:16:33,246.83181984086,229.319920220005
09-Oct-2019 14:31:33,246.774198767985,229.265130344564
09-Oct-2019 14:46:33,246.740236910622,229.232321484845
09-Oct-2019 15:01:33,246.826622310831,229.311320153537
09-Oct-2019 15:16:33,246.845584426502,229.327679488521
09-Oct-2019 15:31:33,246.844993691245,229.32587348732
09-Oct-2019 15:46:33,246.801538932232,229.28424583866
09-Oct-2019 16:01:33,246.846064971911,229.324354348604
09-Oct-2019 16:16:33,246.777614174232,229.259505503007
09-Oct-2019 16:31:33,246.828654685749,229.305665675697
09-Oct-2019 16:46:33,247.027148306147,229.488809616724
09-Oct-2019 17:01:33,247.200843322474,229.648913701289
09-Oct-2019 17:16:33,247.257660837299,229.700437726812
09-Oct-2019 17:31:33,247.418101707864,229.848225937607
09-Oct-2019 17:46:33,247.413933712186,229.843093838454
09-Oct-2019 18:01:33,247.444378656234,229.870116401046
09-Oct-2019 18:16:33,247.516996928806,229.936316487511
09-Oct-2019 18:31:33,247.699852506026,230.104922625784
09-Oct-2019 18:46:33,248.021383335822,230.40235089147
09-Oct-2019 19:01:33,248.591617130046,230.930810128958
09-Oct-2019 19:16:33,248.535745256947,230.877641785538
09-Oct-2019 19:31:33,248.500374969368,230.843518887305
09-Oct-2019 19:46:33,248.451144323095,230.796520888762
09-Oct-2019 20:01:33,248.382010171597,230.731034307099
09-Oct-2019 20:16:33,248.404166532012,230.750351020782
09-Oct-2019 20:31:33,248.407598127326,230.752273573772
09-Oct-2019 20:46:33,248.405713957446,230.749258193169
09-Oct-2019 21:01:33,248.660493965975,230.984662237335
09-Oct-2019 21:16:33,248.643529940466,230.967637738692
09-Oct-2019 21:31:33,248.711575193613,231.02957900781
09-Oct-2019 21:46:33,248.779358384768,231.091276154294
09-Oct-2019 22:01:33,248.759884897129,231.071920280154
09-Oct-2019 22:16:33,248.709882448589,231.024206546183
09-Oct-2019 22:31:33,248.658264405303,230.974992622234
09-Oct-2019 22:46:33,248.63746784644,230.954408687767
09-Oct-2019 23:01:33,248.596114028626,230.914729841443
09-Oct-2019 23:16:33,248.622960167732,230.938400306539
09-Oct-2019 23:31:33,248.613053226976,230.92793185336
09-Oct-2019 23:46:33,248.626661409003,230.939305754251
10-Oct-2019 00:01:33,248.59878188373,230.912143465193
10-Oct-2019 00:16:33,248.621336053773,230.931826774667
10-Oct-2019 00:31:33,248.59150176217,230.902849122761
10-Oct-2019 00:46:33,248.586215579174,230.896673023978
10-Oct-2019 01:01:33,248.551369411846,230.863040649872
10-Oct-2019 01:16:33,248.511083783306,230.824356303004
10-Oct-2019 01:31:33,248.490542996263,230.80401185167
10-Oct-2019 01:46:33,248.465533853605,230.779517314408
10-Oct-2019 02:01:33,248.463127516132,230.776016832469
10-Oct-2019 02:16:33,248.502200297661,230.811042546399
10-Oct-2019 02:31:33,248.483519234037,230.792425876863
10-Oct-2019 02:46:33,248.574734326297,230.875880798818
10-Oct-2019 03:01:33,248.631177365377,230.927038733662
10-Oct-2019 03:16:33,248.564520931705,230.863862720406
10-Oct-2019 03:31:33,248.599394055876,230.894986350971
10-Oct-2019 03:46:33,248.599045693322,230.893396676901
10-Oct-2019 04:01:33,248.696664475371,230.982796246224
10-Oct-2019 04:16:33,248.666241971158,230.953274193648
10-Oct-2019 04:31:33,248.781851178457,231.059381284808
10-Oct-2019 04:46:33,248.683151283582,230.966445924147
10-Oct-2019 05:01:33,248.758714319268,231.035358739656
10-Oct-2019 05:16:33,248.670216727236,230.95189988191
10-Oct-2019 05:31:33,248.624846882785,230.908496491042
10-Oct-2019 05:46:33,248.568586376562,230.854978993009
10-Oct-2019 06:01:33,248.65620712668,230.935089260226
10-Oct-2019 06:16:33,248.717448917411,230.990699773617
10-Oct-2019 06:31:33,248.832137290711,231.09594669594
10-Oct-2019 06:46:33,248.787340672817,231.05307599829
10-Oct-2019 07:01:33,248.890918000488,231.148002434121
10-Oct-2019 07:16:33,248.987285444486,231.23623194274
10-Oct-2019 07:31:33,248.903633804775,231.157276408374
10-Oct-2019 07:46:33,248.944569868285,231.194025926249
10-Oct-2019 08:01:33,249.026336478126,231.268694015585
10-Oct-2019 08:16:33,249.141635687415,231.37450255116
10-Oct-2019 08:31:33,249.425231411148,231.636603772827
10-Oct-2019 08:46:33,249.513976971681,231.717749354655
10-Oct-2019 09:01:33,249.597610077325,231.794146240779
10-Oct-2019 09:16:33,249.654499147068,231.845705993073
10-Oct-2019 09:31:33,249.725331060737,231.910213341958
10-Oct-2019 09:46:33,249.711225111712,231.895841908615
10-Oct-2019 10:01:33,249.741576015079,231.922755519236
10-Oct-2019 10:16:33,249.654060661403,231.840212804849
10-Oct-2019 10:31:33,249.846411376426,232.017566028707
