time,partial_pressure_of_carbon_dioxide_in_sea_water,pCO2_weekly_std
2015-09-29 16:05:00,535.8541952376,8.248922279626772
2015-09-29 17:05:00,537.6527406871,8.2641596513184
2015-09-29 18:05:00,539.9906454531,8.27543113507287
2015-09-29 19:05:00,541.1346756985,8.280283924911622
2015-09-29 20:05:00,543.9987607363,8.281201609281146
2015-09-29 21:05:00,544.6230151664,8.282308539324207
2015-09-29 22:05:00,538.2810924997,8.335511241312927
2015-09-29 23:05:00,533.3964353301,8.722456677565699
2015-09-30 00:05:00,532.5910258179,9.198314675269442
2015-09-30 01:05:00,531.7237652477,9.5093987764266
2015-09-30 02:05:00,531.1335243367,9.790442348205888
2015-09-30 03:05:00,531.7487480728,10.021083973871013
2015-09-30 04:05:00,533.1890876971,10.211606418752773
2015-09-30 05:05:00,535.228642871,10.352565575542409
2015-09-30 06:05:00,534.7833436654,10.471609805275552
2015-09-30 07:05:00,533.8698633275,10.558605273779273
2015-09-30 08:05:00,533.7225917318,10.648259989034143
2015-09-30 09:05:00,533.4694580744,10.740668035258889
2015-09-30 10:05:00,533.3630195185,10.862731074719017
2015-09-30 11:05:00,530.4890143355,11.03509182661345
2015-09-30 12:05:00,528.053134653,11.305202651269258
2015-09-30 13:05:00,526.7112963501,11.721218634454686
2015-09-30 14:05:00,524.4744490408,12.23972916942496
2015-09-30 15:05:00,523.7668180775,12.775682110143165
2015-09-30 16:05:00,524.3696309765,13.315781689557708
2015-09-30 17:05:00,524.4529420797,13.8208102000692
2015-09-30 18:05:00,525.8551917493,14.288672037895447
2015-09-30 19:05:00,526.2750960796,14.76082388632538
2015-09-30 20:05:00,526.7801521792,15.180201207714505
2015-09-30 21:05:00,527.1790264427,15.579508025730858
2015-09-30 22:05:00,526.6783563462,15.928759437819906
2015-09-30 23:05:00,524.9017436914,16.1945418003018
2015-10-01 00:05:00,522.5060944694,16.261464987839734
2015-10-01 01:05:00,520.1403432735,16.28012088602358
2015-10-01 02:05:00,521.7339477973,16.28213469183978
2015-10-01 03:05:00,526.2140744828,16.290875351627673
2015-10-01 04:05:00,528.5635597578,16.315854062244195
2015-10-01 05:05:00,529.3628562193,16.337883589568417
2015-10-01 06:05:00,528.2750976121,16.349908359189314
2015-10-01 07:05:00,531.4144218535,16.356863671917548
2015-10-01 08:05:00,528.7625566496,16.36421593501854
2015-10-01 09:05:00,529.7119369493,16.371583117409667
2015-10-01 10:05:00,535.1071967108,16.391447643520294
2015-10-01 11:05:00,537.3673322312,16.414123673905426
2015-10-01 12:05:00,533.0719423588,16.460830566289953
2015-10-01 13:05:00,533.4391930002,16.535851135901154
2015-10-01 14:05:00,535.3813982981,16.62482856012928
2015-10-01 15:05:00,535.2159487939,16.725257105252435
2015-10-01 16:05:00,532.4796751184,16.80243432758006
2015-10-01 17:05:00,532.0365711357,16.871307438543713
2015-10-01 18:05:00,530.3663274204,16.923458945868294
2015-10-01 19:05:00,531.4421494798,16.980940677495088
2015-10-01 20:05:00,533.7722731074,17.03322352002794
2015-10-01 21:05:00,535.1527357093,17.084386244393478
2015-10-01 22:05:00,537.3675008227,17.137748401055863
2015-10-01 23:05:00,538.1580537146,17.194901806395773
2015-10-02 00:05:00,536.5163371303,17.24903915270161
2015-10-02 01:05:00,536.750627369,17.309698146851815
2015-10-02 02:05:00,535.4749157635,17.375604255873544
2015-10-02 03:05:00,535.0947939157,17.443125777737734
2015-10-02 04:05:00,536.3721111867,17.513725428423022
2015-10-02 05:05:00,531.958752674,17.59715480669554
2015-10-02 06:05:00,528.5256902063,17.67836797219665
2015-10-02 07:05:00,528.7988692838,17.757285535491306
2015-10-02 08:05:00,537.0811621833,17.821603659052194
2015-10-02 09:05:00,537.9322625824,17.892786104611833
2015-10-02 10:05:00,537.0134314555,17.971322427245624
2015-10-02 11:05:00,535.012161181,18.05832059012869
2015-10-02 12:05:00,532.7626086196,18.124513379365126
2015-10-02 13:05:00,533.9511210273,18.175251175020374
2015-10-02 14:05:00,534.8872368228,18.202006245761893
2015-10-02 16:05:00,536.5343756461,18.32670237321167
2015-10-02 17:05:00,536.1533019706,18.45645565047883
2015-10-02 18:05:00,535.9403348951,18.612251753177834
2015-10-02 19:05:00,535.5585492316,18.7288532692291
2015-10-02 20:05:00,538.4814972893,18.851129132904443
2015-10-02 21:05:00,537.9881714286,19.00686274780165
2015-10-02 22:05:00,537.9014403903,19.186780216066175
2015-10-02 23:05:00,535.5948428865,19.362115810521438
2015-10-03 00:05:00,532.7701125329,19.51948115956086
2015-10-03 01:05:00,532.4954247174,19.65390372568934
2015-10-03 02:05:00,531.7991439497,19.764294263159847
2015-10-03 03:05:00,531.5273422204,19.91395209225469
2015-10-03 04:05:00,530.2394641373,20.030126585657104
2015-10-03 05:05:00,529.6693720904,20.142913903745576
2015-10-03 06:05:00,530.8513990215,20.265661646745535
2015-10-03 07:05:00,533.2035475198,20.4132275109338
2015-10-03 08:05:00,535.3555045037,20.53618274406379
2015-10-03 09:05:00,538.6977488018,20.66824232785282
2015-10-03 10:05:00,549.0632466553,20.773194630618935
2015-10-03 11:05:00,570.181343799,20.856517079537994
2015-10-03 12:05:00,574.8565676925,20.930414802470306
2015-10-03 13:05:00,568.5670686317,20.99761362358848
2015-10-03 14:05:00,567.7255156213,21.033304900823964
2015-10-03 15:05:00,565.6671384438,21.044201000692365
2015-10-03 16:05:00,563.9459486567,21.043405395643482
2015-10-03 17:05:00,560.7967855851,21.0606931542343
2015-10-03 18:05:00,559.4306093767,21.062610203566166
2015-10-03 19:05:00,557.0941592818,21.049355784694825
2015-10-03 20:05:00,558.8771206129,21.027004449093518
2015-10-03 21:05:00,559.9881477955,20.98408524869666
2015-10-03 22:05:00,561.7378891219,20.934960358477
2015-10-03 23:05:00,566.3928708123,20.859095725379202
2015-10-04 00:05:00,573.4388145267,20.762324556536434
2015-10-04 01:05:00,580.4628189447,20.655452814287763
2015-10-04 02:05:00,586.2543563019,20.52596614694204
2015-10-04 03:05:00,588.3024941344,20.384423863383965
2015-10-04 04:05:00,589.7892130392,20.242387153719346
2015-10-04 05:05:00,589.393504706,20.098280281725998
2015-10-04 06:05:00,588.5931924725,19.9629481274946
2015-10-04 07:05:00,589.8406873214,19.8288208815014
2015-10-04 08:05:00,588.1876345892,19.696776361809626
2015-10-04 09:05:00,588.2848901152,19.565876975901023
2015-10-04 10:05:00,586.8314184151,19.43096091372328
2015-10-04 11:05:00,582.6100409712,19.278866953412635
2015-10-04 12:05:00,564.7042618855,19.095418877117968
2015-10-04 13:05:00,557.2641274849,18.886820922625017
2015-10-04 14:05:00,555.2457198692,18.695929871011383
2015-10-04 15:05:00,555.4906690208,18.550862192497558
2015-10-04 16:05:00,555.6235547993,18.424310550402254
2015-10-04 17:05:00,555.8951668819,18.299252404860844
2015-10-04 18:05:00,556.0281461814,18.166156402511156
2015-10-04 19:05:00,556.3159374365,18.047859531534883
2015-10-04 20:05:00,556.1124552679,17.896217100538937
2015-10-04 21:05:00,554.9394159249,17.751219651822232
2015-10-04 22:05:00,555.8449299259,17.656444663326194
2015-10-04 23:05:00,556.6934831446,17.58139032345458
2015-10-05 00:05:00,560.1999293966,17.46382382257127
2015-10-05 01:05:00,565.0309314503,17.34330357828225
2015-10-05 02:05:00,566.9990920516,17.238374224609764
2015-10-05 03:05:00,568.1267233954,17.13625644199816
2015-10-05 04:05:00,566.8549658846,17.007022077420554
2015-10-05 05:05:00,564.9143127563,16.872537391431894
2015-10-05 06:05:00,563.4934473738,16.718720923118823
2015-10-05 07:05:00,564.8701358723,16.583219199009992
2015-10-05 08:05:00,565.0052857975,16.492427936100096
2015-10-05 09:05:00,564.9831897973,16.40787574724724
2015-10-05 10:05:00,564.1909391289,16.34506744829129
2015-10-05 11:05:00,563.5836976559,16.29033561980222
2015-10-05 12:05:00,563.3186576987,16.22542718889577
2015-10-05 13:05:00,564.08103146,16.161359182332916
2015-10-05 14:05:00,564.8727069702,16.079294983698844
2015-10-05 15:05:00,565.6656287393,15.989089352110234
2015-10-05 16:05:00,566.5463074784,15.911134892908263
2015-10-05 17:05:00,568.5928183591,15.76183937861301
2015-10-05 18:05:00,568.4549514085,15.566131041864406
2015-10-05 19:05:00,568.7492720647,15.376280112325219
2015-10-05 20:05:00,567.1599483329,15.276880497905648
2015-10-05 21:05:00,567.3822597171,15.18584792938421
2015-10-05 22:05:00,567.8627539635,15.069554185148744
2015-10-05 23:05:00,569.2221934189,14.924296915883358
2015-10-06 00:05:00,567.0286179579,14.749343084400069
2015-10-06 01:05:00,565.200645338,14.5841821961774
2015-10-06 02:05:00,568.9969628007,14.427447057933845
2015-10-06 03:05:00,570.6768485533,14.399469024207544
2015-10-06 05:05:00,575.3348228161,14.178458717383528
2015-10-06 06:05:00,578.2647144664,14.023678945081267
2015-10-06 07:05:00,574.4071565736,13.862543013124373
2015-10-06 08:05:00,575.3512440091,13.729822382753376
2015-10-06 09:05:00,579.1056747891,13.587965947329353
2015-10-06 10:05:00,581.7487018137,13.44233711340876
2015-10-06 11:05:00,582.2612814401,13.265243135126283
2015-10-06 12:05:00,583.3501616648,13.04698691790003
2015-10-06 13:05:00,582.3407570931,12.823287653849993
2015-10-06 14:05:00,579.8632067316,12.617620010760909
2015-10-06 15:05:00,583.9440248616,12.40788888857564
2015-10-06 16:05:00,580.6624964887,12.192789036344603
2015-10-06 17:05:00,579.9684747531,11.987207595338765
