time,surface_partial_pressure_of_carbon_dioxide_in_sea_water,pmel_nh10_pco2_seawater,ooi_pmel_pco2_difference
2015-08-08 03:14:00,458.5083819941,490.5,-31.991618005900023
2015-08-08 06:14:00,451.6842256765,476.6,-24.915774323500045
2015-08-08 09:14:00,468.3170628067,495.5,-27.182937193300006
2015-08-08 12:14:00,369.3061381144,386.9,-17.59386188559995
2015-08-08 15:14:00,339.1122453875,351.8,-12.687754612499987
2015-08-08 18:14:00,339.3677728432,370.5,-31.132227156800013
2015-08-08 21:14:00,341.1132357376,355.3,-14.186764262400004
2015-08-09 00:14:00,353.8906879678,352.0,1.8906879677999768
2015-08-09 03:14:00,337.9007662363,350.3,-12.39923376370001
2015-08-09 06:14:00,337.4087781342,343.7,-6.291221865799969
2015-08-09 09:14:00,336.9138601036,357.6,-20.68613989640005
2015-08-09 12:14:00,327.1342695397,350.8,-23.665730460299983
2015-08-09 15:14:00,325.6920559531,346.4,-20.707944046899968
2015-08-09 18:14:00,330.322672506,346.6,-16.27732749400002
2015-08-09 21:14:00,330.6500774461,353.7,-23.04992255389999
2015-08-10 00:14:00,300.7231371823,308.6,-7.876862817700044
2015-08-10 03:14:00,282.0718706308,295.2,-13.128129369199996
2015-08-10 06:14:00,287.0306905721,298.8,-11.769309427899998
2015-08-10 09:14:00,295.374626477,300.3,-4.925373523000019
2015-08-10 12:14:00,284.9190894262,303.0,-18.080910573799997
2015-08-10 15:14:00,275.9336088494,288.9,-12.966391150599975
2015-08-10 18:14:00,270.3526948488,283.9,-13.547305151199964
2015-08-10 21:14:00,275.4196137292,289.3,-13.880386270799988
2015-08-11 00:14:00,246.9922673877,266.0,-19.007732612300003
2015-08-11 03:14:00,249.2009605368,264.2,-14.999039463199978
2015-08-11 06:14:00,251.4099912273,261.3,-9.890008772700014
2015-08-11 09:14:00,250.2337808756,262.5,-12.26621912440001
2015-08-11 12:14:00,250.3203251364,263.4,-13.07967486359999
2015-08-11 15:14:00,272.6864188393,285.1,-12.413581160700005
2015-08-11 18:14:00,270.6986971242,281.7,-11.00130287579998
2015-08-11 21:14:00,277.4193704252,288.4,-10.980629574799991
2015-08-12 00:14:00,282.1148669024,285.4,-3.285133097599953
2015-08-12 03:14:00,260.8605799545,264.1,-3.239420045500026
2015-08-12 06:14:00,275.4316452833,277.1,-1.668354716700037
