depth,oxygen_umol_kg,oxygen_gain_corr_umol_kg
488.933227964553,275.692366296276,278.724982325535
490.998049886216,275.85209461377,278.886467654521
492.931382469717,275.954699109371,278.990200799574
494.989794019778,275.888940999521,278.923719350515
497.048092461868,276.115253685001,279.152521475536
499.106884440906,276.71903512434,279.762944510707
501.036690821823,277.464607931701,280.516718618949
502.981625126487,278.087379734668,281.146340911749
504.953538625181,278.508860322802,281.572457786353
507.150078830559,278.706353060296,281.772122943959
509.20734510623,278.872524743917,281.9401225161
511.301856974421,279.086494008926,282.156445443024
513.396217072284,279.152430326698,282.223107060291
515.490985321917,279.135336324681,282.205825024253
517.486457824025,279.079867385145,282.149745926382
519.494634659305,279.123866007505,282.194228533587
521.636777693565,278.976709348546,282.04545315138
523.77689454209,278.959599640848,282.028155236897
525.877979715344,278.915059297758,281.983124950033
527.852405857602,279.087583608245,282.157547027935
529.953659000171,279.217003505195,282.288390543752
532.090730010712,279.386400324125,282.45965072769
534.252305355812,279.551108006503,282.626170194574
536.28305791399,279.908638024168,282.987633042433
538.444567126888,280.348475499553,283.432308730048
540.517483412181,280.590055778489,283.676546392053
542.587605502989,280.955497290237,284.046007760429
544.657816819049,281.16576717262,284.258590611518
546.62708438511,280.946493259815,284.036904685673
548.757813028024,280.555508971458,283.641619570144
550.888363384961,280.340877163809,283.424626812611
552.885931369782,280.163847237697,283.245649557312
554.871938594017,279.987605708064,283.067469370852
556.981488684254,280.048902970214,283.129440902887
559.090739701073,280.169009345161,283.250868447958
561.044135013918,280.352633198331,283.436512163512
563.084788537956,280.513539185722,283.599188116765
565.125298054473,280.609368157673,283.696071207407
567.041840003482,280.66914108906,283.756501641039
569.032995457211,280.579102080921,283.665472203811
571.16178986572,280.536117397513,283.622014688885
573.291453836719,280.390383589723,283.47467780921
575.21915710031,280.157580153075,283.239313534759
577.111932665854,280.051806861853,283.132376737334
579.130915624926,279.850328466713,282.928682079847
581.171948139068,279.444865649842,282.51875917199
583.141704845088,279.193930974326,282.265064215043
585.23878964315,278.939032166175,282.007361520003
587.335406928948,278.707642993598,281.773427066528
589.386373474731,278.44641883361,281.50932944078
591.419628942638,278.097287380653,281.156357541841
593.329441850232,277.967071910776,281.024709701795
595.250518140567,277.898121359961,280.95500069492
597.350336025619,278.041740436296,281.100199581095
599.454078333208,278.087272856344,281.146232857763
601.560112782216,278.32981241073,281.391440347248
603.817149704301,278.957723267235,282.026258223174
606.095778770241,279.496209326243,282.570667628831
608.374780652746,279.903660507095,282.982600772673
610.234560603378,280.002673577283,283.082702986634
611.907380772627,279.939962637663,283.019302226677
613.580478809294,279.534185277379,282.60906131543
615.289812120125,279.625338014126,282.701216732281
617.333537533836,279.979488390139,283.059262762431
619.377500272301,280.472640171897,283.557839213787
621.296439264914,280.877904164168,283.967561109974
623.343795569218,281.163840799713,284.25664304851
625.395160119073,281.351668799864,284.446537156662
627.442200924595,281.541840838742,284.638801087968
629.438283114255,281.695119887468,284.79376620623
631.420166671122,281.762023631531,284.861405891478
633.280260741965,281.929464503243,285.030688612779
635.265499057119,281.971248025546,285.072931753827
637.163188953469,282.049966090824,285.152515717823
639.182819864042,282.188369211269,285.292441272593
641.202397798717,282.150825140211,285.254484216753
643.08878247042,282.059082322401,285.161732227947
645.095441469091,281.906830601925,285.007805738546
647.101925045969,281.542442472176,284.63940933937
649.110119660891,281.212588965432,284.305927444052
650.996296113853,281.10270364298,284.194833383052
653.006167609462,281.044659418245,284.136150671846
655.017124088285,281.168117715154,284.260967010021
656.920469903641,281.27352982401,284.367538652074
658.947127162394,281.240627607027,284.334274510704
660.851375259769,281.467863893399,284.564010396227
662.909221337526,281.754826426388,284.854129517078
664.981357673094,282.12983790477,285.233266121722
667.0561621729,282.396432932374,285.50279369463
668.986167286589,282.582861895834,285.691273376689
670.917728859702,282.689206308824,285.798787578221
672.838561484736,282.717669728251,285.827564095262
674.877910518522,282.779924410099,285.89050357861
676.767933220141,282.94282237882,286.055193424986
678.780182254493,282.887948483463,285.999715916781
680.670408516379,282.620018195512,285.728838395663
682.694985281618,282.379564392457,285.485739600774
684.600045415968,282.275897360605,285.380932231571
686.50810835674,282.412064673037,285.51859738444
