time,surface_partial_pressure_of_carbon_dioxide_in_sea_water,surface_partial_pressure_of_carbon_dioxide_in_air
2016-01-07 02:53:00,378.8000280999,406.6368091309
2016-01-07 03:53:00,377.6409723936,401.0914005189
2016-01-07 04:53:00,374.3759149601,400.8129601514
2016-01-07 05:53:00,373.1613208323,401.6360689619
2016-01-07 06:53:00,369.620096225,402.1350799577
2016-01-07 07:53:00,362.4212517477,402.8017346957
2016-01-07 07:54:00,362.663047948,402.8028803777
2016-01-07 08:53:00,369.4167249226,402.9432164039
2016-01-07 09:53:00,373.2637106944,414.4580171518
2016-01-07 10:53:00,373.7208754832,410.1359780543
2016-01-07 11:53:00,373.4459282562,413.7699366088
2016-01-07 12:53:00,373.3325622995,422.4473938663
2016-01-07 13:53:00,382.0923184472,416.1492911696
2016-01-07 14:53:00,380.5089851139,415.5174416962
2016-01-07 15:53:00,380.3242694026,418.0149557667
2016-01-07 16:53:00,380.1080372564,417.3615507358
2016-01-07 17:53:00,379.0684540944,419.9039057012
2016-01-07 18:53:00,378.9094497903,421.7019358931
2016-01-07 19:53:00,369.0653528251,419.4517531004
2016-01-07 19:54:00,369.1139526277,419.4482419986
2016-01-07 20:53:00,370.9053924391,419.0462138785
2016-01-07 21:53:00,374.2621377855,415.3844730133
2016-01-07 22:53:00,373.5427803822,415.9361336683
2016-01-07 23:53:00,369.7113249445,414.0051108955
2016-01-08 00:53:00,372.4981221043,411.4664011146
2016-01-08 01:53:00,369.3324115196,418.2451315838
2016-01-08 02:53:00,372.0406797434,416.5396021322
2016-01-08 03:53:00,366.2526866244,414.4013192906
2016-01-08 04:53:00,363.138792938,416.3726336996
2016-01-08 05:53:00,364.6921347699,417.4499412619
2016-01-08 06:53:00,365.4232975574,418.6584937642
2016-01-08 07:53:00,361.4713422156,421.5718533513
2016-01-08 07:54:00,361.6538983469,421.5777840932
2016-01-08 08:53:00,374.489294624,418.6232638221
2016-01-08 09:53:00,373.9667838638,421.3635439643
2016-01-08 10:53:00,383.1576712723,424.3450981708
2016-01-08 11:53:00,390.3668270417,424.4077765792
2016-01-08 12:53:00,390.2170957041,425.9875217597
2016-01-08 13:53:00,389.7282602736,420.5821995498
2016-01-08 14:53:00,381.2886065192,422.2313940652
2016-01-08 15:53:00,369.0576013652,420.3652661372
2016-01-08 16:53:00,365.7013083587,418.2587628064
2016-01-08 17:53:00,364.332534885,418.7676200897
2016-01-08 18:53:00,361.7944937906,415.019784591
2016-01-08 19:53:00,352.9861984949,413.1402732179
2016-01-08 19:54:00,353.0703594046,413.1367756993
2016-01-08 20:53:00,355.413534556,409.5664517061
2016-01-08 21:53:00,350.367251967,407.0786234062
2016-01-08 22:53:00,349.1531924226,405.174468179
2016-01-08 23:53:00,355.3019471174,403.1780853377
2016-01-09 00:53:00,352.3704114922,403.3356036744
2016-01-09 01:53:00,353.9309016641,408.0242186619
2016-01-09 02:53:00,355.1898662171,409.227224295
2016-01-09 03:53:00,361.1404926392,408.1342155637
2016-01-09 04:53:00,359.3828953861,408.956213245
2016-01-09 05:53:00,353.4183526606,409.3196370211
2016-01-09 06:53:00,355.5146462154,408.6878251784
2016-01-09 07:53:00,349.5675337493,410.0608396533
2016-01-09 07:54:00,349.7592061436,410.063579696
2016-01-09 08:53:00,359.7177776407,409.5117431189
2016-01-09 09:53:00,357.9168996902,411.1759042711
2016-01-09 10:53:00,361.7003282891,416.7824299425
2016-01-09 11:53:00,365.5982776818,414.0008488515
2016-01-09 12:53:00,367.2674185103,409.9904645841
2016-01-09 13:53:00,356.0007950215,412.4127897809
2016-01-09 14:53:00,354.6855312937,410.7402697305
2016-01-09 15:53:00,356.1624756696,413.4224283176
2016-01-09 16:53:00,353.3368972229,411.4658860696
2016-01-09 17:53:00,351.1767723497,411.4125600163
2016-01-09 18:53:00,355.378276037,412.7314543153
2016-01-09 19:53:00,353.0068506353,410.6600274381
2016-01-09 19:54:00,353.0927399457,410.6559318655
2016-01-09 20:53:00,360.8238616114,409.0843443929
2016-01-09 21:53:00,364.3523281794,407.2392653848
2016-01-09 22:53:00,366.0935383941,402.3333546297
2016-01-09 23:53:00,368.0955362283,401.1853357611
2016-01-10 00:53:00,370.1555774872,401.5247368575
2016-01-10 01:53:00,370.2364160978,401.7062578704
2016-01-10 02:53:00,372.6879746141,401.3842955165
2016-01-10 03:53:00,376.3193484936,404.7136553374
2016-01-10 04:53:00,379.9952984072,402.3883124715
2016-01-10 05:53:00,382.2380678236,403.0902771391
2016-01-10 06:53:00,383.0952586561,404.1915378469
2016-01-10 07:53:00,374.9496874743,405.5474477868
2016-01-10 08:53:00,383.9058002303,403.6271551869
2016-01-10 09:53:00,386.6217856457,406.8921618477
2016-01-10 10:53:00,385.4519046248,414.9516934721
2016-01-10 11:53:00,383.4239932012,414.7229059907
2016-01-10 12:53:00,380.8910340763,411.3685920007
2016-01-10 13:53:00,380.5999225539,411.484099292
2016-01-10 14:53:00,379.0375544864,417.2372081965
2016-01-10 15:53:00,375.6158743866,414.1189087984
2016-01-10 16:53:00,373.8781937933,413.7202298867
2016-01-10 17:53:00,371.708264797,414.8009221469
2016-01-10 18:53:00,370.228626943,419.8111488832
2016-01-10 19:53:00,363.6867820819,417.0677178271
2016-01-10 20:53:00,373.3166618691,412.3652107217
2016-01-10 21:53:00,372.5910608054,408.9349294911
2016-01-10 22:53:00,372.3382028401,406.7129224484
2016-01-10 23:53:00,371.3790539244,405.0855824639
2016-01-11 00:53:00,374.9946815802,404.7884498673
2016-01-11 01:53:00,379.6438029443,407.7260851606
2016-01-11 02:53:00,382.5644824136,407.6448075186
2016-01-11 03:53:00,386.0691942868,408.4218639638
2016-01-11 04:53:00,387.1405200537,408.7507125158
2016-01-11 05:53:00,404.3392925679,411.6980563394
2016-01-11 06:53:00,392.7823320174,412.0056667885
2016-01-11 07:53:00,384.1114640733,412.2794238496
2016-01-11 08:53:00,398.3767682375,409.8029946605
2016-01-11 09:53:00,395.916604984,409.1742814173
2016-01-11 10:53:00,394.0909854155,408.4382033364
2016-01-11 11:53:00,392.858379938,404.6180137639
2016-01-11 12:53:00,396.1587712805,404.0988030085
2016-01-11 13:53:00,397.87378348,407.2760177352
2016-01-11 14:53:00,390.5178468624,406.8448200093
2016-01-11 15:53:00,389.5058495764,406.9486672992
2016-01-11 16:53:00,389.6836191299,407.0294140722
2016-01-11 17:53:00,389.9133186666,402.8366414668
2016-01-11 18:53:00,392.8355950325,402.3559244187
2016-01-11 19:53:00,386.7012226883,402.4956360987
2016-01-11 20:53:00,394.6295987883,401.6602205148
2016-01-11 21:53:00,396.5179496669,400.9750810533
2016-01-11 22:53:00,389.7395310744,396.4673238929
2016-01-11 23:53:00,390.4437556542,396.444480977
2016-01-12 00:53:00,394.907116128,396.7910636193
2016-01-12 01:53:00,398.8018168983,396.6708790823
2016-01-12 02:53:00,403.5693382131,396.8017605354
2016-01-12 03:53:00,405.7099165227,396.9175230641
2016-01-12 04:53:00,404.511678592,396.8160527352
2016-01-12 05:53:00,399.0222194808,397.098288375
2016-01-12 06:53:00,397.4203299339,399.3584979324
2016-01-12 07:53:00,381.4986429805,402.3699827352
2016-01-12 08:53:00,389.7191655015,403.1704535233
2016-01-12 09:53:00,391.7860672479,402.7991835083
2016-01-12 10:53:00,393.1941051896,404.9903278818
2016-01-12 11:53:00,393.5541299997,405.0242193179
2016-01-12 12:53:00,394.2980713874,401.5221256489
2016-01-12 13:53:00,394.8867471283,400.6909118636
2016-01-12 14:53:00,395.583395016,399.2052189271
2016-01-12 15:53:00,394.9568221071,398.6494461192
2016-01-12 16:53:00,394.4907750089,399.0281194316
2016-01-12 17:53:00,395.7262624393,399.8315393303
2016-01-12 18:53:00,397.5722544343,399.416074053
2016-01-12 19:53:00,387.2049407846,399.2762592699
2016-01-12 20:53:00,395.3477465252,398.74367027
2016-01-12 21:53:00,397.2564766839,397.4636510196
2016-01-12 22:53:00,398.936161828,396.9489449561
2016-01-12 23:53:00,400.3457144228,396.3565763735
2016-01-13 00:53:00,398.9792711846,395.6165025575
2016-01-13 01:53:00,397.0088548949,395.4604949007
2016-01-13 02:53:00,396.1511329057,394.3777469754
2016-01-13 03:53:00,395.5386065192,390.4369089786
2016-01-13 04:53:00,393.7801799764,389.2344089961
2016-01-13 05:53:00,393.5510869863,395.5661804781
2016-01-13 06:53:00,384.6723860241,394.2205656984
2016-01-13 07:53:00,377.2424747101,391.7683972181
2016-01-13 08:53:00,388.4206109329,392.2547693552
2016-01-13 09:53:00,396.1633597884,391.94811009
2016-01-13 10:53:00,394.859353154,392.8047018391
2016-01-13 11:53:00,396.8983708912,392.7440217434
2016-01-13 12:53:00,398.3934294213,393.2233575512
2016-01-13 13:53:00,393.1112344765,393.831841891
2016-01-13 14:53:00,389.3076116457,394.1826290686
2016-01-13 15:53:00,388.6434602626,394.2725803468
2016-01-13 16:53:00,379.7480981166,394.4822699094
2016-01-13 17:53:00,383.8257532144,394.79197303
2016-01-13 18:53:00,371.782116128,395.2119577324
2016-01-13 19:53:00,366.0316226663,395.3820331154
2016-01-13 20:53:00,371.8938132248,395.8124184388
2016-01-13 21:53:00,371.8710831483,396.3811604595
2016-01-13 22:53:00,371.1539017737,396.2124352332
2016-01-13 23:53:00,369.064924473,396.5317180539
2016-01-14 00:53:00,367.0783404611,396.9917453652
2016-01-14 01:53:00,367.5357074321,397.33148557
2016-01-14 02:53:00,367.0739095869,397.6611015652
2016-01-14 03:53:00,367.0960502508,397.7618568253
2016-01-14 04:53:00,366.8544665131,398.1215947445
2016-01-14 05:53:00,367.7301792911,397.5380154
2016-01-14 06:53:00,379.9351577706,397.6986120235
2016-01-14 07:53:00,372.5065246594,398.1113674824
2016-01-14 08:53:00,381.890496066,398.1320495526
2016-01-14 09:53:00,381.4936432547,398.1923135788
2016-01-14 10:53:00,381.7657153823,398.272919403
2016-01-14 11:53:00,381.8476505743,398.4539452393
2016-01-14 12:53:00,383.6511843079,398.8588801188
2016-01-14 13:53:00,388.4236608,399.9548543378
2016-01-14 14:53:00,390.6740000548,399.8768055353
2016-01-14 15:53:00,390.807998876,400.4698561055
2016-01-14 16:53:00,389.5820619843,402.3771930961
2016-01-14 17:53:00,389.81303287,407.5425647712
2016-01-14 18:53:00,389.9417132714,407.031834153
2016-01-14 19:53:00,382.2508943992,405.610167033
2016-01-14 20:53:00,390.9129040217,401.2744737134
2016-01-14 21:53:00,390.5036050114,397.8185076498
2016-01-14 22:53:00,390.1384434027,397.0831607376
2016-01-14 23:53:00,390.2588480412,396.4117435143
2016-01-15 00:53:00,390.4810154344,396.7397704969
2016-01-15 01:53:00,385.6087877293,396.9622642729
2016-01-15 02:53:00,382.8170216849,396.8794440441
2016-01-15 03:53:00,382.1910107739,397.7968996528
2016-01-15 04:53:00,380.8667345176,396.5323940187
2016-01-15 05:53:00,381.4085314034,399.5968090338
2016-01-15 06:53:00,373.1929640595,400.319832914
2016-01-15 07:53:00,365.2856868712,401.4256063814
2016-01-15 08:53:00,376.2107629465,402.7555272546
2016-01-15 09:53:00,375.7474778628,401.5491633117
2016-01-15 10:53:00,374.9111494915,403.2025717477
2016-01-15 11:53:00,379.0358993338,402.9978930214
2016-01-15 12:53:00,385.2243639828,401.3048412332
2016-01-15 13:53:00,385.5624091894,396.321005139
2016-01-15 14:53:00,385.7914096554,396.0232470966
2016-01-15 15:53:00,386.7357512953,396.2327800843
2016-01-15 16:53:00,386.8831935192,396.1908797154
2016-01-15 17:53:00,387.0654008005,396.0810155179
2016-01-15 18:53:00,387.1137086383,396.1191559871
2016-01-15 19:53:00,378.8047365463,396.1383502181
2016-01-15 20:53:00,387.6410751981,396.1607012888
2016-01-15 21:53:00,387.326808674,397.5732932229
2016-01-15 22:53:00,387.5877950489,396.4554840906
2016-01-15 23:53:00,390.7703929874,396.7240412516
2016-01-16 00:53:00,386.5604387696,396.333464628
2016-01-16 01:53:00,386.1468870795,395.1233990095
2016-01-16 02:53:00,385.1067350659,396.8109183395
2016-01-16 03:53:00,384.4231604847,397.1735686764
2016-01-16 04:53:00,386.5363379664,397.2438867829
2016-01-16 05:53:00,389.9411101516,396.7828755731
2016-01-16 06:53:00,389.1174027469,397.3609617114
2016-01-16 07:53:00,380.2364366587,395.7611638703
2016-01-16 08:53:00,389.9754091619,395.2560115736
2016-01-16 09:53:00,389.2517750912,395.5296897511
2016-01-16 10:53:00,388.0229973682,396.537071746
2016-01-16 11:53:00,389.8075705239,395.5645467536
2016-01-16 12:53:00,390.4678633111,394.1519690715
2016-01-16 13:53:00,390.6484428544,392.2039038181
2016-01-16 14:53:00,390.9921868575,390.5387613276
2016-01-16 15:53:00,391.1727595471,390.3864198801
2016-01-16 16:53:00,390.715039614,390.6849108562
2016-01-16 17:53:00,391.1489500233,391.4884468215
2016-01-16 18:53:00,391.9548756751,391.4604774702
2016-01-16 19:53:00,384.8518244373,392.3656954491
2016-01-16 20:53:00,393.9176364558,392.8245859836
2016-01-16 21:53:00,392.2194807687,392.915521011
2016-01-16 22:53:00,391.2759615648,393.1537474659
2016-01-16 23:53:00,392.199824547,393.5416842895
2016-01-17 00:53:00,392.3162951997,393.7901738778
2016-01-17 01:53:00,391.0873015873,394.3863253523
2016-01-17 02:53:00,391.2545885078,394.5268974805
2016-01-17 03:53:00,391.6736573731,394.7652384422
2016-01-17 04:53:00,391.5135564876,394.5182385344
2016-01-17 05:53:00,391.7975710722,394.4877914562
2016-01-17 06:53:00,391.8787180963,394.7185422654
2016-01-17 07:53:00,384.1206616498,397.2405819351
2016-01-17 08:53:00,393.2617985306,400.2912098395
2016-01-17 09:53:00,392.6721290128,399.1833309958
2016-01-17 10:53:00,391.1467500069,398.3895690097
2016-01-17 11:53:00,391.5507922801,397.8151694317
2016-01-17 12:53:00,393.3653466568,397.7811556603
2016-01-17 13:53:00,395.6849555885,397.6819744018
2016-01-17 14:53:00,396.2929482962,394.9575984084
2016-01-17 15:52:00,392.8095546509,391.5813172967
2016-01-17 15:53:00,392.9239722119,391.5751062608
2016-01-17 16:52:00,392.2455588453,391.0351849959
2016-01-17 16:53:00,392.2185418209,391.0339838893
2016-01-17 17:52:00,391.347011473,391.6279300662
2016-01-17 17:53:00,391.3407176342,391.6290069125
2016-01-17 18:52:00,390.5248735505,392.0864013403
2016-01-17 18:53:00,390.6317057911,392.0869749985
2016-01-17 19:53:00,381.3825287167,392.7436854385
2016-01-17 20:52:00,389.1732050333,392.4958528963
2016-01-17 20:53:00,389.2880273871,392.4954902339
2016-01-17 21:52:00,388.9210152973,392.5354117189
2016-01-17 21:53:00,388.9364800324,392.5352494281
2016-01-17 22:52:00,389.1768443129,392.4151215595
2016-01-17 22:53:00,389.0812625568,392.415211572
2016-01-17 23:52:00,388.9751264495,392.8020474282
2016-01-17 23:53:00,388.81559515,392.8026330361
2016-01-18 00:52:00,388.6243060696,392.9524619505
2016-01-18 00:53:00,388.585681682,392.9527689581
2016-01-18 01:52:00,389.3490470022,393.1908046471
2016-01-18 01:53:00,389.29255666,393.1920748657
2016-01-18 02:52:00,388.8814972448,393.0832636187
2016-01-18 02:53:00,388.8946253804,393.0830951592
2016-01-18 03:52:00,388.5175898511,393.3102289432
2016-01-18 03:53:00,388.415921334,393.3106553548
2016-01-18 04:52:00,387.1203737972,393.3293756959
2016-01-18 04:53:00,387.1723723168,393.3302839294
2016-01-18 05:52:00,386.8793023686,393.47065224
2016-01-18 05:53:00,386.858909626,393.4708606094
2016-01-18 06:52:00,387.0227403569,393.8876926757
2016-01-18 06:53:00,386.8290463854,393.8885875922
2016-01-18 07:53:00,382.3152397401,394.9464965275
2016-01-18 08:52:00,390.8139649642,394.8890019293
2016-01-18 08:53:00,390.8551381693,394.8889044271
2016-01-18 09:52:00,390.922649889,395.2767508724
2016-01-18 09:53:00,390.8452689366,395.2772312904
2016-01-18 10:52:00,390.4912616169,395.1574962283
2016-01-18 10:53:00,390.5077257587,395.1572334802
2016-01-18 11:52:00,389.9051011596,395.0283882765
2016-01-18 11:53:00,389.9347345588,395.0272477883
2016-01-18 12:52:00,390.1487889629,395.0463919579
2016-01-18 12:53:00,390.1487838227,395.0465611265
2016-01-18 13:52:00,390.412225512,395.0467242982
