,time,chlora,depth,chlora_dark,chlora_corr
2442,2018-06-26 21:29:43.251333632,0.476,61.33363280516168,0.44029999999999997,0.13149311320546372
2441,2018-06-26 21:29:42.122605056,0.4879,61.384296557814814,0.4522,0.13504698112993574
2440,2018-06-26 21:29:40.993890816,0.5117,61.45844927909841,0.47600000000000003,0.1421547169788797
2439,2018-06-26 21:29:39.865170432,0.5355000000000001,61.547786397307824,0.4998000000000001,0.14926245282782372
2438,2018-06-26 21:29:38.736425472,0.5831000000000001,61.63681352388532,0.5474000000000001,0.1634779245257117
2437,2018-06-26 21:29:37.607743488,0.4879,61.70789557979285,0.4522,0.13504698112993574
2436,2018-06-26 21:29:36.478998528,0.5355000000000001,61.7540885608345,0.4998000000000001,0.14926245282782372
2435,2018-06-26 21:29:35.350304768,0.5236000000000001,61.77302764561066,0.48790000000000006,0.14570858490335173
2434,2018-06-26 21:29:34.221594112,0.5831000000000001,61.78065738979543,0.5474000000000001,0.1634779245257117
2433,2018-06-26 21:29:33.092883456,0.4879,61.79453018284933,0.4522,0.13504698112993574
2432,2018-06-26 21:29:31.964192256,0.4879,61.82981729329662,0.4522,0.13504698112993574
2431,2018-06-26 21:29:30.835492352,0.4641,61.89329193050796,0.4284,0.12793924528099174
2430,2018-06-26 21:29:29.706770432,0.4879,61.97375332444803,0.4522,0.13504698112993574
2429,2018-06-26 21:29:28.578057216,0.4879,62.05405247668179,0.4522,0.13504698112993574
2428,2018-06-26 21:29:27.449325568,0.5117,62.12069446057815,0.47600000000000003,0.1421547169788797
2427,2018-06-26 21:29:26.320617472,0.4641,62.16352001271186,0.4284,0.12793924528099174
2426,2018-06-26 21:29:25.191891456,0.476,62.18574790920698,0.44029999999999997,0.13149311320546372
2425,2018-06-26 21:29:24.063207424,0.4998,62.20365250633731,0.4641,0.13860084905440773
2424,2018-06-26 21:29:22.934522880,0.5236000000000001,62.23219507621919,0.48790000000000006,0.14570858490335173
2423,2018-06-26 21:29:21.805835264,0.5117,62.28071829636291,0.47600000000000003,0.1421547169788797
2422,2018-06-26 21:29:20.677079040,0.5474,62.34661045570149,0.5117,0.1528163207522957
2421,2018-06-26 21:29:19.548353024,0.476,62.415238125309045,0.44029999999999997,0.13149311320546372
2420,2018-06-26 21:29:18.419631104,0.476,62.47270197253019,0.44029999999999997,0.13149311320546372
2419,2018-06-26 21:29:17.290947584,0.476,62.50812007810077,0.44029999999999997,0.13149311320546372
2418,2018-06-26 21:29:16.162236416,0.4879,62.531187015438,0.4522,0.13504698112993574
2417,2018-06-26 21:29:15.033552896,0.4641,62.55766431306795,0.4284,0.12793924528099174
2416,2018-06-26 21:29:13.904844800,0.476,62.59550800426446,0.44029999999999997,0.13149311320546372
2415,2018-06-26 21:29:12.776140800,0.4998,62.64936363790788,0.4641,0.13860084905440773
2414,2018-06-26 21:29:11.647711744,0.476,62.718412393855566,0.44029999999999997,0.13149311320546372
2413,2018-06-26 21:29:10.519335936,0.476,62.78954628058527,0.44029999999999997,0.13149311320546372
2412,2018-06-26 21:29:09.390915072,0.4522,62.852186436279375,0.4165,0.12438537735651975
2411,2018-06-26 21:29:08.262489088,0.4641,62.9023600595784,0.4284,0.12793924528099174
2410,2018-06-26 21:29:07.134041088,0.4403,62.94211871894294,0.4046,0.12083150943204776
2409,2018-06-26 21:29:06.005623808,0.4998,62.974776267119154,0.4641,0.13860084905440773
2408,2018-06-26 21:29:04.877233664,0.4641,63.0088598718311,0.4284,0.12793924528099174
2407,2018-06-26 21:29:03.748815360,0.4522,63.05106274328768,0.4165,0.12438537735651975
2406,2018-06-26 21:29:02.620566016,0.4522,63.10173409568725,0.4165,0.12438537735651975
2405,2018-06-26 21:29:01.491883520,0.4284,63.15943933139094,0.3927,0.11727764150757576
2404,2018-06-26 21:29:00.363205120,0.5474,63.22568044905052,0.5117,0.1528163207522957
2403,2018-06-26 21:28:59.234510848,0.4522,63.28522232201092,0.4165,0.12438537735651975
2402,2018-06-26 21:28:58.105837056,0.4403,63.34260984851584,0.4046,0.12083150943204776
2401,2018-06-26 21:28:56.977112064,0.4522,63.39619076459223,0.4165,0.12438537735651975
2400,2018-06-26 21:28:55.848407040,0.4641,63.44503251367046,0.4284,0.12793924528099174
2399,2018-06-26 21:28:54.719672832,0.4284,63.49193723717539,0.3927,0.11727764150757576
2398,2018-06-26 21:28:53.590945792,0.4522,63.53393902786997,0.4165,0.12438537735651975
2397,2018-06-26 21:28:52.462240768,0.4403,63.57881870987281,0.4046,0.12083150943204776
2396,2018-06-26 21:28:51.333503488,0.4641,63.61622235380671,0.4284,0.12793924528099174
2395,2018-06-26 21:28:50.204786688,0.4522,63.652195772174366,0.4165,0.12438537735651975
2394,2018-06-26 21:28:49.076087296,0.4522,63.683745276577085,0.4165,0.12438537735651975
2393,2018-06-26 21:28:47.947372544,0.4522,63.71764996336565,0.4165,0.12438537735651975
2392,2018-06-26 21:28:46.818662400,0.4641,63.75814519491935,0.4284,0.12793924528099174
2391,2018-06-26 21:28:45.689993216,0.4641,63.807206653923146,0.4284,0.12793924528099174
2390,2018-06-26 21:28:44.561300480,0.4522,63.86243985212391,0.4165,0.12438537735651975
2389,2018-06-26 21:28:43.432559616,0.4284,63.92512895480285,0.3927,0.11727764150757576
2388,2018-06-26 21:28:42.303868416,0.4165,63.990620285746495,0.38079999999999997,0.11372377358310376
2387,2018-06-26 21:28:41.175156224,0.4522,64.05244322465934,0.4165,0.12438537735651975
2386,2018-06-26 21:28:40.046434304,0.4165,64.11197763896246,0.38079999999999997,0.11372377358310376
2385,2018-06-26 21:28:38.917713920,0.4284,64.17070276323064,0.3927,0.11727764150757576
2384,2018-06-26 21:28:37.789038080,0.4403,64.23080042769494,0.4046,0.12083150943204776
2383,2018-06-26 21:28:36.660297728,0.4522,64.28788266382539,0.4165,0.12438537735651975
2382,2018-06-26 21:28:35.531618304,0.4284,64.34208401092452,0.3927,0.11727764150757576
2381,2018-06-26 21:28:34.402930176,0.4998,64.38815311637524,0.4641,0.13860084905440773
2380,2018-06-26 21:28:33.274252800,0.4165,64.42106493493762,0.38079999999999997,0.11372377358310376
2379,2018-06-26 21:28:32.145544192,0.4403,64.44893286198577,0.4046,0.12083150943204776
2378,2018-06-26 21:28:31.016811008,0.4641,64.47410854352678,0.4284,0.12793924528099174
2377,2018-06-26 21:28:29.888138752,0.4046,64.50214570465957,0.3689,0.11016990565863179
2376,2018-06-26 21:28:28.759437312,0.4165,64.53685564619019,0.38079999999999997,0.11372377358310376
2375,2018-06-26 21:28:27.630746112,0.4284,64.58248979075148,0.3927,0.11727764150757576
2374,2018-06-26 21:28:26.502020608,0.4046,64.64047590807407,0.3689,0.11016990565863179
